2023-09-02 15:32:58 status half-installed login:amd64 1:4.13+dfsg1-1+b1
2023-09-02 15:32:58 status unpacked login:amd64 1:4.13+dfsg1-1+b1
2023-09-02 15:32:58 install mount:amd64 <none> 2.38.1-5+b1
2023-09-02 15:32:58 status half-installed mount:amd64 2.38.1-5+b1
2023-09-02 15:32:59 status unpacked mount:amd64 2.38.1-5+b1
2023-09-02 15:32:59 install ncurses-base:all <none> 6.4-4
2023-09-02 15:32:59 status half-installed ncurses-base:all 6.4-4
2023-09-02 15:32:59 status unpacked ncurses-base:all 6.4-4
2023-09-02 15:32:59 install ncurses-bin:amd64 <none> 6.4-4
2023-09-02 15:32:59 status half-installed ncurses-bin:amd64 6.4-4
2023-09-02 15:32:59 status unpacked ncurses-bin:amd64 6.4-4
2023-09-02 15:32:59 install sed:amd64 <none> 4.9-1
2023-09-02 15:32:59 status half-installed sed:amd64 4.9-1
2023-09-02 15:32:59 status unpacked sed:amd64 4.9-1
2023-09-02 15:32:59 install sysvinit-utils:amd64 <none> 3.06-4
2023-09-02 15:32:59 status half-installed sysvinit-utils:amd64 3.06-4
2023-09-02 15:32:59 status unpacked sysvinit-utils:amd64 3.06-4
2023-09-02 15:32:59 install tzdata:all <none> 2023c-5
2023-09-02 15:32:59 status half-installed tzdata:all 2023c-5
2023-09-02 15:33:00 status unpacked tzdata:all 2023c-5
2023-09-02 15:33:00 install usr-is-merged:all <none> 35
2023-09-02 15:33:00 status half-installed usr-is-merged:all 35
2023-09-02 15:33:00 status unpacked usr-is-merged:all 35
2023-09-02 15:33:00 install util-linux-extra:amd64 <none> 2.38.1-5+b1
2023-09-02 15:33:00 status half-installed util-linux-extra:amd64 2.38.1-5+b1
2023-09-02 15:33:00 status unpacked util-linux-extra:amd64 2.38.1-5+b1
2023-09-02 15:33:01 install util-linux:amd64 <none> 2.38.1-5+b1
2023-09-02 15:33:01 status half-installed util-linux:amd64 2.38.1-5+b1
2023-09-02 15:33:01 status unpacked util-linux:amd64 2.38.1-5+b1
2023-09-02 15:33:01 startup packages configure
2023-09-02 15:33:01 configure debian-archive-keyring:all 2023.3 <none>
2023-09-02 15:33:01 status unpacked debian-archive-keyring:all 2023.3
2023-09-02 15:33:01 status half-configured debian-archive-keyring:all 2023.3
2023-09-02 15:33:01 status installed debian-archive-keyring:all 2023.3
2023-09-02 15:33:01 configure usr-is-merged:all 35 <none>
2023-09-02 15:33:01 status unpacked usr-is-merged:all 35
2023-09-02 15:33:01 status half-configured usr-is-merged:all 35
2023-09-02 15:33:01 status installed usr-is-merged:all 35
2023-09-02 15:33:01 configure libaudit-common:all 1:3.0.9-1 <none>
2023-09-02 15:33:01 status unpacked libaudit-common:all 1:3.0.9-1
2023-09-02 15:33:01 status half-configured libaudit-common:all 1:3.0.9-1
2023-09-02 15:33:01 status installed libaudit-common:all 1:3.0.9-1
2023-09-02 15:33:01 configure libsemanage-common:all 3.4-1 <none>
2023-09-02 15:33:01 status unpacked libsemanage-common:all 3.4-1
2023-09-02 15:33:01 status half-configured libsemanage-common:all 3.4-1
2023-09-02 15:33:01 status installed libsemanage-common:all 3.4-1
2023-09-02 15:33:01 configure debconf:all 1.5.82 <none>
2023-09-02 15:33:01 status unpacked debconf:all 1.5.82
2023-09-02 15:33:01 status half-configured debconf:all 1.5.82
2023-09-02 15:33:01 status installed debconf:all 1.5.82
2023-09-02 15:33:01 configure gcc-12-base:amd64 12.2.0-14 <none>
2023-09-02 15:33:01 status unpacked gcc-12-base:amd64 12.2.0-14
2023-09-02 15:33:01 status half-configured gcc-12-base:amd64 12.2.0-14
2023-09-02 15:33:01 status installed gcc-12-base:amd64 12.2.0-14
2023-09-02 15:33:01 configure tzdata:all 2023c-5 <none>
2023-09-02 15:33:01 status unpacked tzdata:all 2023c-5
2023-09-02 15:33:01 status half-configured tzdata:all 2023c-5
2023-09-02 15:33:02 status installed tzdata:all 2023c-5
2023-09-02 15:33:02 configure ncurses-base:all 6.4-4 <none>
2023-09-02 15:33:02 status unpacked ncurses-base:all 6.4-4
2023-09-02 15:33:02 status half-configured ncurses-base:all 6.4-4
2023-09-02 15:33:02 status installed ncurses-base:all 6.4-4
2023-09-02 15:33:02 configure init-system-helpers:all 1.65.2 <none>
2023-09-02 15:33:02 status unpacked init-system-helpers:all 1.65.2
2023-09-02 15:33:02 status half-configured init-system-helpers:all 1.65.2
2023-09-02 15:33:02 status installed init-system-helpers:all 1.65.2
2023-09-02 15:33:02 configure libgcc-s1:amd64 12.2.0-14 <none>
2023-09-02 15:33:02 status unpacked libgcc-s1:amd64 12.2.0-14
2023-09-02 15:33:02 status half-configured libgcc-s1:amd64 12.2.0-14
2023-09-02 15:33:02 status installed libgcc-s1:amd64 12.2.0-14
2023-09-02 15:33:02 configure libc6:amd64 2.36-9+deb12u1 <none>
2023-09-02 15:33:02 status unpacked libc6:amd64 2.36-9+deb12u1
2023-09-02 15:33:02 status half-configured libc6:amd64 2.36-9+deb12u1
2023-09-02 15:33:02 status installed libc6:amd64 2.36-9+deb12u1
2023-09-02 15:33:02 configure libudev1:amd64 252.12-1~deb12u1 <none>
2023-09-02 15:33:02 status unpacked libudev1:amd64 252.12-1~deb12u1
2023-09-02 15:33:02 status half-configured libudev1:amd64 252.12-1~deb12u1
2023-09-02 15:33:02 status installed libudev1:amd64 252.12-1~deb12u1
2023-09-02 15:33:02 configure libffi8:amd64 3.4.4-1 <none>
2023-09-02 15:33:02 status unpacked libffi8:amd64 3.4.4-1
2023-09-02 15:33:02 status half-configured libffi8:amd64 3.4.4-1
2023-09-02 15:33:02 status installed libffi8:amd64 3.4.4-1
2023-09-02 15:33:02 configure libmd0:amd64 1.0.4-2 <none>
2023-09-02 15:33:02 status unpacked libmd0:amd64 1.0.4-2
2023-09-02 15:33:02 status half-configured libmd0:amd64 1.0.4-2
2023-09-02 15:33:02 status installed libmd0:amd64 1.0.4-2
2023-09-02 15:33:02 configure libxxhash0:amd64 0.8.1-1 <none>
2023-09-02 15:33:02 status unpacked libxxhash0:amd64 0.8.1-1
